Model,Accuracy,Precision,Recall,F1-Score,Training Time (s)
MLP Neural Network,0.841,0.8488882473715842,0.841,0.8408396168314882,107.29413652420044
Logistic Regression,0.747,0.746809758562885,0.747,0.7455976395864666,10.573003768920898
Linear Regression (OvA),0.6885,0.6886273665112381,0.6885,0.6865772889799374,0.6697847843170166
Naive Bayes (GaussianNB),0.514,0.542644327868516,0.514,0.5164833038101145,0.04672384262084961
