Digit,F1-Score
0,0.7639902676399026
1,0.7090909090909091
2,0.7360406091370558
3,0.7035175879396985
4,0.6893203883495146
5,0.6820512820512821
6,0.75
7,0.6282722513089005
8,0.5915492957746479
9,0.6119402985074627
